Year,Abetment to Suicide of women,Acid Attack,Assault on Outrage Modesty of Women,Attempt to Acid Attack,Attempt to Commit Rape,Buying of Minor Girls,Cruelty by Husband or his relatives,Cyber Crimes/Information Technology Act,Dowry Deaths,Dowry Prohibition Act,Human Trafficking,Immoral Traffic (Prevention) Act,Indecent Representation of Women (Prohibition) Act,Insult to the Modesty of Women,Kidnapping & Abduction,POCSO,Protection of Women from Domestic Violence Act,Rape,Selling of Minor Girls
2011,,,45,,1,0,117,0,3,0,0,34,0,0,50,8,0,18,0
2012,,,34,,0,0,111,0,4,29,0,6,0,0,97,6,0,16,0
2013,0,,46,,0,0,95,0,1,9,0,11,0,0,95,5,0,13,0
2014,,,29,,0,0,119,0,4,0,0,5,0,0,112,27,1,15,0
2015,,,46,,0,0,96,0,4,0,0,25,0,0,148,36,0,19,0
2016,0,,44,,1,0,90,0,2,1,0,21,0,0,62,43,0,18,0
2017,9,1,32,0,1,0,52,1,0,1,0,37,0,0,24,35,0,6,0
2018,6,0,31,0,0,0,32,0,1,0,0,16,0,0,51,57,0,9,0
2019,8,0,29,0,0,0,46,0,2,0,0,18,0,0,34,67,0,13,0
2020,7,0,30,0,0,0,27,4,0,0,0,18,0,0,9,108,0,8,0
