Year,Acid Attack,Complaints against in-laws,Cyber Crime against women,Deprivation of womens rights,Domestic Violence,Dowry Death,Dowry Harassment,Gender Discrimination including equal right to education & work,Harrassment including sexual harassment,Indecent Representation of Women,Kidnapping / Abduction,Outraging Modesty of Women,Police apathy and free legal aid,Rape,Reproductive health rights,Right to Exercise Choice in marriage,Trafficking
01/01/2011,0,9,3,326,0,32,64,2,69,0,17,45,271,55,2,0,342
01/02/2011,1,7,11,257,1,38,34,4,70,0,8,42,200,27,1,0,251
01/03/2011,1,9,9,278,1,27,46,7,89,1,16,42,244,56,1,0,303
01/04/2011,3,11,1,304,1,48,42,3,73,0,17,28,276,46,2,0,273
01/05/2011,0,14,2,445,1,44,45,2,71,0,15,35,379,58,1,1,322
01/06/2011,2,7,4,305,0,29,41,4,75,0,9,29,268,43,1,0,291
01/07/2011,2,17,1,611,0,77,50,1,70,0,27,56,591,91,3,1,564
01/08/2011,0,15,10,521,1,58,44,3,66,0,23,52,559,61,2,0,581
01/09/2011,0,13,2,402,2,50,52,3,55,0,19,57,343,62,2,0,199
01/10/2011,1,10,3,378,2,57,54,2,77,0,18,60,389,70,1,1,446
01/11/2011,0,9,3,370,2,42,36,0,41,0,14,54,339,54,1,0,330
01/12/2011,2,16,3,335,1,40,36,2,74,0,11,48,329,46,0,0,292
01/01/2012,0,53,3,326,0,32,30,2,48,0,16,52,294,43,2,0,307
01/02/2012,1,55,1,314,0,34,39,2,58,0,13,64,264,34,1,0,301
01/03/2012,1,94,10,466,0,48,75,0,60,0,23,89,345,78,0,0,422
01/04/2012,0,80,2,409,1,38,47,3,44,0,18,89,323,48,1,0,325
01/05/2012,0,79,2,501,1,69,78,2,72,0,25,111,353,70,2,0,347
01/06/2012,1,79,6,400,0,53,135,3,63,2,23,69,352,56,2,0,285
01/07/2012,5,90,5,488,1,63,115,5,78,0,13,79,403,98,4,0,331
01/08/2012,5,73,8,461,1,69,48,8,66,5,10,110,376,46,0,0,283
01/09/2012,2,64,10,472,1,43,57,5,85,3,7,74,324,46,0,1,302
01/10/2012,0,100,9,609,0,64,38,3,68,3,9,106,460,58,2,2,397
01/11/2012,1,54,2,359,3,28,38,7,62,4,4,62,377,42,6,0,244
01/12/2012,2,59,15,397,0,51,114,0,69,3,52,88,218,87,2,3,283
01/01/2013,0,64,8,329,0,35,140,6,60,8,62,119,228,82,6,15,291
01/02/2013,3,86,5,423,0,74,42,1,92,2,44,107,291,92,0,3,332
01/03/2013,1,78,20,417,0,47,42,4,73,5,27,110,224,61,5,6,282
01/04/2013,0,66,15,361,3,52,119,4,75,3,36,102,221,77,4,17,362
01/05/2013,3,69,12,333,3,42,165,2,72,4,63,119,178,66,4,24,274
01/06/2013,4,120,11,521,3,63,290,4,121,5,103,237,300,131,6,29,494
01/07/2013,3,100,18,462,1,46,123,10,74,4,54,114,241,84,2,15,296
01/08/2013,0,91,12,421,1,29,107,3,65,5,46,113,267,73,3,4,300
01/09/2013,4,69,10,494,3,40,113,4,68,5,48,134,231,88,2,9,288
01/10/2013,1,74,19,353,1,50,114,1,58,3,36,96,230,72,0,10,280
01/11/2013,5,99,23,427,3,55,171,6,105,5,39,152,329,136,3,28,441
01/12/2013,1,65,16,364,4,31,113,2,89,9,41,109,241,73,2,12,308
01/01/2014,4,18,39,270,136,14,207,5,76,2,129,62,357,78,3,26,185
01/02/2014,4,11,30,296,182,22,200,2,83,7,34,68,255,68,2,56,323
01/03/2014,0,11,22,269,148,16,204,4,51,6,34,59,143,63,2,33,323
